Review,Date Posted
"The 216 and 219 buses in Cork City are…The 216 and 219 buses in Cork City are absolutely terrible. They often don’t keep to the timetable and can show up either too early or too late and if they show up late it can be over 30 minutes late!! It’s like they regularly show up whenever they want to. Also, there’s no timetables on either of the  stops I use and no real time info either, so it’s a guess work! Yesterday I was waiting over 20 minutes for the 216 and today over 30 minutes for the 219 in the cold. An appalling and unreliable service. The Irish government should drastically improve the public transport!!",2023-11-15
Ever since they added more stops to the…Ever since they added more stops to the 323 route that never did few years back. It means lot more passages now get 323 and using these new buses are a joke there's less seats now than the old buses. So now there always full most days so some passengers are left behind and have to wait for the next one.   seriously have to re think 323 route because under current format using those new buses it's not working and also 3 hour gap in morns and afternoons that there's no service adds to the problem because it adds to the volume of passengers then on next  after those 3 hours. Where as if we had extra buses in those 3 hours it could help with the amount of passengers then over following services.,2023-10-09
Absolutely terribleAbsolutely terrible. The 343 is the most unreliable chaotic absolutely ridiculous. I can't tell you how many times it literally just did not show up ..Leaving an hour wait which is just not good enough as it is a busy route with many people relying on it to get to work/school etc..If it does manage to show up it is usually late and could have an hour and half journey ahead of you that should be only a half hour cramped next to strangers. Unfortunately I don't drive and so I have to continue to suffer these poor conditions as I have no other choice financially. At 5 months pregnant though I am finding it increasingly difficult to tolerate.,2023-10-11
Damien the lovely  driver from LimerickI was getting a  from Killmallock to Limerick  station today and a really genuine and caring  driver made everyone's day on the . By being chirpy and kind. I know everyone has bad days and they can be in a bad mood. It's understandable given the way the world is. But Damien from Limerick thank you for keeping a lovely smile on your face despite those difficulties. He was also on time and was just a pleasure. Seeing him going that extra mile helping people even after he had got people to the  station.,2023-11-23
101 morning service has become frustrating and unreliableI was at the Balbriggan Garda Station  stop this morning at 6.40am waiting for the 101 service to show up. It didn’t arrive until almost 7.30am and it was so full that it left most passengers stranded. Single decker buses with only about two thirds the capacity of the old coaches are being deployed during peak hours on the 101 service also. These buses don’t have the capacity to take on all the passengers along the route causing people to be regularly stranded. It’s just not good enough.,2023-10-18
"What an ignorant driver on the number 7…What an ignorant driver on the number 7  cork city route from Douglas to Dublin Hill. 4 times I've had a run in with him his customer service skills are appalling. He's the most ignorant man I've ever met, Do better  E",2023-10-10
"Disappointment after disappointmentDisappointment after disappointment, at 30 years old I finally had to buy a car to guarantee I could get to work. You can't rely on the Cork City or county services for anything important, the buses are early, late or just don't show up. The whole thing just needs reforming, it's definitely the worst public transport service I've encountered except for North America where it's non existent. They probably need to travel a bit and get inspired by some other European countries.",2023-08-23
"This is a nightmareBuses are always cancelled. To arrive at the point you should wait approx. 30 minutes. Often it's under the rain. Sometimes drivers just ignores the fact that you are standing on the  stop and drive away!!! It’s very illogical that to go from the center to Ardkeen you can’t take route 354 because it’s a pickup only at this stop!!! Everything has been done to make the buses as inconvenient as possible for users!!! TFI route app is not always correct and you can only lean on the fate and luck to arrive home not after 2 hours after work day tired, exhausted and wet from the rain.People uses this company only because it's monopolist. It there will be some alternative, I would avoid using this...It's about all the   transport in Waterford.",2023-09-23
"The 32 and Monaghan  station are awfulMy  (the 32 from Letterkenny to Dublin) on 5 October 2023, was 35 minutes late at Monaghan  station. As usual, no update was given at Monaghan  station. I honestly have no idea what the staff there actually do. There is a public announcement system but they certainly don’t use it. It’s no better than a  stop.Also, why on Earth are the prices on the  Éireann website and the Expressway website different for the same services?I loathe the dysfunction. Please improve.",2023-10-05
"Incredibly unreliable serviceIncredibly unreliable service, 2 Galway 401 busess in a row simply didn't show up so I'm late for work after 45 min of standing on a  stop. Simply unbelievable how this is a normal occurrence and there's literally nothing you can do. Disgraceful, zero star service.",2023-10-11
"An absolute disgraceDoesn't even deserve one star.  service 202 / 202A, Merchants Quay to Mahon:  constantly cancelled, you could be waiting over an hour at this stop without seeing a  passing (there should be a  every 10 minutes according to   timetables). Nowhere to shelter from the rain as a massive crowd accumulates due to the lack of buses. Shame on you  !!!",2023-07-30
"BAD BUSTHIS SHOULNT EVEN BE DESERVING 1 STAR . THIS  NEVER SHOWED UP I HAVE PLACES TO BE IVE BEEN STANDING FOR AGES AND IT NEVER SHOWED UP . ABSOLUTELY USELESS , THIS  BETTER PATTER UP",2023-11-18
"Busroute 51 is a disaster. route 51 to Galway is either late (sometimes up to 1 hour) or full. I don't understand how you can book a ticket online even when the  is fully booked. Today I see 6 people standing at the  stop in Ardrahan and the  didn't stop. (It said,  full). It's the most unreliable public transport system I ever came accross and it's been like that for ever. I see many negative reviews but they are ignored and nothing is done to improve it. We live in a time where public transport is more important then ever.",2023-09-20
"Worse than a 3rd World companyI've gotten buses in third world countries that are more reliable than this sh@teJust missed out on a job interview because yet again there is no fail safe for late buses/driver no shows, its the typical Irish attitude of 'it'll be fine'How hard could it be to have a second driver and  available in case of an emergency? They simply don't want to pay for it, in a country that's economy that is allegedly booming.As always, never trust an Irish man to run a company efficiently... and I am",2023-09-07
If I could rate it 0/5 I would.The 109  services are disgusting since they are always 20-40 minutes late. They have the rudest pr*cks for drivers who will see you running and leave 5 minutes early because that's how little they care. I've been having to take taxis because they are that unreliable and make me an hour late for work every freaking time and I had enough. I'd rather spend 30€ a day then a penny more for these buses.Disgraceful.,2023-10-06
Punctuality is shockingbig well done to the d1/d2  service to drogheda for consistently being over 10 minutes late every single time🙌🙌🙌 sometimes even thirty,2023-11-09
"Absolutely useless support and websiteAbsolutely useless support and website.I bought a ticket, had to change it, called support, they advised to change it online, the system only let me change only one leg, I changed it and tried to change the second leg, their system didn't allow me do it, called support again, they advised to try again, still not happening, called support,  they asked me to request the refund, I did, got an answer from Gerard, they don't issue refunds to amended tickets. Emailed back, no answer for 2 weeks, called support an requested to speak to a manager, got an email from Gerard the same day, refunds aren't possible in amended tickets... Absolutely useless, the amount of time I have wasted with this company... ridiculous",2023-09-29
"RUDEWhat rude drivers you seem to hire  . 405  driver from Galway cathedral to westside yesterday started slapping on the cabin window because I hadn't fully topped up my leap card on time. I asked how much it was to which he grunted 1.90, obviously I corrected him that it was 1.90 PLEASE!It takes nothing to be proffesional and kind, perhaps if this rude man is dissatisfied working for ye he should find some other line of work.",2023-03-13
"The 32  was 30 mins lateThe 32  from Dublin to Letterkenny at 18:45 left at 19.15. For once people waiting were actually informed of the delay and given an estimated departure time. The  broke down en route to the station. I’m still giving one star because these delays happen virtually every time. Ridiculous that we still pay full price for this. The 32  is always late, particularly arriving at and leaving stations and stops en route. The people of Monaghan and Donegal deserve so much better.",2022-12-13
Worst public transportation EVERI have been in many countries and I came to Cork to study.All my life I have never witnessed such terrible service when it comes to public transportations.After 1 year in Cork I can state that they are ALWAYS LATE. No matter the day or the time. Full buses. I've always been late to work and to class.Probably among the worst public transportation systems in EU. And what is worst is that who's in charge doesn't care.DO NOT rely on buses in Ireland.,2023-10-15
"How is this a service and why do I pay for it?Completely unreliable service, with arrogant and disrespectful drivers. It doesn't run to any schedule and when it finally shows up, its full, smells of urine and when you ring the bell to stop, it ploughs on to whichever  stop he feels like. Avoid like the plague and get yourself an electric scooter or any other mode of transport, a carrot powered snail will be better than this. Also a common occurrence is to see 3-4 buses come at the same time as if its a roller coaster ride.",2022-09-09
Rude DriverVery rude  driver on 101 to Drogheda. Asked if he stops at Swords Pavillion as it was my first time and he ignores me. As we approached the stop I asked him what to do and he ignores me yet again after speaking up. At the stop he says you don’t ever get off at this stop and got fed up over nothing. Told me to f*** off and get off his .,2023-11-20
"  step up your Game!  you should really consider investing some money in new buses, they are old, smelly and they are falling apart. Retrain your driver's on customer service because they are absolutely rude, with their arrogance and short answers!! You need to step up your game!",2023-04-19
"This  company doesn’t even deserve 1…This  company doesn’t even deserve 1 star. The experiences I’ve had with the 355 service is ridiculous. I had a doctors appointment today for my 24 week check up as I am pregnant. The lazy  driver decided not to stop at my stop as it was probably too much hassle for them. Missed my doctors appointment because of this, I also suffer with anxiety and was completely distressed over the whole situation. Also 95% of the drivers I’ve come to meet are pig ignorant.",2023-08-01
"Very bad customer service,not all…Very bad customer service,not all drivers but  a good few and this is enough. Making complain make no sens Customer care stay always on they workers side no matter how bad was they behave .Unbelievable that in 21 century such a company is existing at all .They advertise toilet in  but drivers don't know if it's working or not.Many times just closed",2022-09-12
"Completely incompetent companyCompletely incompetent company. They dont care of their customers, of the reviews. A 6 year old child could manage the company than they do at the moment. Ignorant employees. Buses late all the time 30min, for years. Always the same excuse ""traffic"". Even tho the actual problem is that the buses never leave in the specified time. Somehow there are other companies who drive much further routes and still always make it on time or even earlier. But  ? Never.",2022-10-14
Possibly the worst  service in…Possibly the worst  service in Ireland. Utterly rude drivers with no professionalism or ethics. I got belittled on several occasions while travelling on this  service. Just literally avoid them if you can. They don’t give a shi*e even if you file a complaint.,2023-03-27
"Unkind driverThere is a  driver of 101X who has been rude.. I completely understand for security reasons people have to remain seated until we arrive where we get off, but please, there is a way to talk to people.. :-/ Saying it politely I would have understood as well :( It was embarrassing how he shouted at me.. :( And that driver actually seems to be always in a bad mood (I live in Balbriggan Co.Dublin, and take the  101 or 101X everyday to get to Dublin on my way to work).. Please, if I may, I think there is a difference between giving an advice, and telling someone off.. :(  It's the Busaras'driver  101X I just took in Balbriggan (around 7am), number 231-D-13259.",2023-08-11
"Wexford  depart many locations…Wexford  depart many locations especially in Dublin heading for Wexford earlier than the scheduled time. When I emailed a complaint several times,they lied stating they had checked tracker and  left later than scheduled time . I will not be using them again . Very bad to deal with , no satisfaction nor apology from the company.",2023-05-16
"The worstIf I could give no starts or 5 piles of sh@*te I would. Where to begin...My son started 1st year in school today despite two phone calls no information about pick up point pick up time or . Had to drive around all morning trying to locate the  and end up driving him to school myself. Turns out pick up point is 5km away on the side of the road with no shelter.My daughter tries regularly to take the local  to work. 50% of the time it doesn't stop at our time,  full with no back up  ever supplied. I've witnessed myself drivers shouting at people trying to get on a  to get to work in the morning, telling them  is full, again no back up.This absolute shitshow is supposed to be an alternative to owning a private car......",2023-08-29
"I'd rate them no star'sWorst  company ever especially in dublin airport 100x to dundalk goes every hour and 7.20  driver and came out of said only 12 people allowed on the  was full . People were waiting for ages with family's etc   driver said another  would be here in 20 minutes no sign of it then hour later same thing happened saying you needed a pre book a ticket and people had return tickets etc . Why wasn't there a back up  ? They treat their customers like dirt . Holding people up trying to go home . You's are a absolute disgrace, liar's . No respect for people's time . It would stop me using your  again.",2023-08-06
"*** Unreliable, Awful, AVOID ***Worst  service ever, better to go with Feda  service. Waiting over an hour for my , and this has been the case on multiple occasions.  route to Derry and Galway particularly bad for timing, and buses are usually unclean and toilet out of service. If I could give 0 stars, I would. Unreliable, especially if you're travelling for work or have an appointment as theyre always so late.",2022-08-08
Worst  service in EuropeWorst  service in Europe. Like something from a third word country. The 402  in Galway has failed to turn up 3 times in the last 24 hours. Unbelievable  stuff. Eamon Ryan is not fit for purpose and needs to remove himself from office. Some of the most ignorant drivers l have ever encountered..pure pigs.,2023-06-19
"Worst service everWorst service ever, firstly never on time.. old buses, drivers are rude or always chatting with some passengers.Learn to respect your timetable as many people depends on these buses. Please make an effort to improve your services.",2023-05-10
"Terrible serviceBus never on time, waited over an hour in the freezing cold for it once. Terrible service,  is filthy with chewing gums on seats, water dripping from the vent, among many other things. Ticket are also very expensive which doesn’t add up with the service that is being provided. terrible, terrible and once again terrible.",2022-10-30
"Absolutely atrocious Third World …Absolutely atrocious Third World  line! Got a ticket from Mullingar to Dublin Airport on the 23 line. No information on the ticket as to the location of the  stop. Rang the ""Help Line"" and spoke to some chap called Simon. Said their ""map app"" had been ""down"" for the last few days. Pushed him and asked if anyone there knew. A few minutes later he told me the road, but that was all. There are two stops on either side of the road. One has literally zero signage on it, the other has the 23  route on it.  was running 15 mins late and goes to the opposite stop that is completely unmarked. Rude driver, smelly , no aircon, full of morons playing music loudly without headphones, charging points not functioning! Absolute Third World! The dark side of the Irish ""it'll be grand"" mentality! Disgraceful! Never again! Avoid like the plague!",2023-09-01
"Public service not suitable for Ireland's second city.Let me preface this by saying that my judgement is limited to Cork city, relative to several episodes experienced first-hand. I also stress that I have a fair amount of experience in using public transport in other nations.The public transport service seems to me to be not up to the standard of what is considered Ireland's second city, because:- too few journeys; they should increase the frequency of journeys. Just to give some examples seen in the first weeks of stay in Cork (but who knows what else there is), there are lines (e.g. the 245) that regularly have a queue to get on the  from Cork station! I have waited standing several times for a quarter of an hour or half an hour.... There are lines (such as the 210) that run every 90 minutes (I am talking about the city centre…). Furthermore, it has already happened to me that the full  did not stop!- too many delays: there is no point in indicating a timetable when there are so many delays that one no longer looks at the tables and relies on fate;- there are electronic realtime signs in the city centre, but these are exceptions (perhaps they are mainly urban decorations);- the indications for  stops are non-existent, incomprehensible or useless. I would like to be able to orient myself in the lines just by looking at the boards posted on the shelters, without Google Maps or another navigator (as, for example, is possible in London);- it is not a public service that can be considered for going to work or other important appointments: I have had to cancel appointments because of this. I strongly advise against relying on it, or take it well in advance always ready to call a taxi if it gets bad. It is only suitable for elderly people, students, and those who for other reasons do not have a car, that’s all;- slow service at the stops (time wasting and boring): in fact, first of all there is only one  door where you get on and off, so you have to wait every time before getting on until the last person has gotten off! Waiting for passengers to get off may be justifiable in the metro, not in the !Once on board, every time you get on a , you have to turn to the driver to tell him where you want to go, or at least to put the card in front of him. Basically the driver also acts as the ticket taker.- there are no rules for luggage, it depends on the mood of the driver maybe or who knows what (I haven't quite figured it out yet). If you want to carry heavy luggage, you have to hope that the driver wants to open the lower compartment door, otherwise you'll have to carry heavy suitcases into the cabin (I'm talking about the same lines with buses that have lower luggage racks).- traveling by  in Cork, despite the general low quality of the service offered, is expensive;On the POSITIVE side:- the buses I've seen so far were all clean and modern;- the drivers in general are courteous and professional, although it is normal to occasionally find rude ones (as almost everywhere);- customer service works, they answered me several times, but I think they can do up to a certain point. I would like it to be clear that I am not criticizing management: I am not capable of carrying out these analyses. I limit myself to indicating the facts experienced firsthand in the most objective way possible and without other reasons other than to see him improve one day, if possible.I reiterate that a city like Cork should strengthen and improve its public service because it is not adequate for Ireland's second city. I will be happy to edit this review when I see positive changes.",2023-12-21
"Crap website & Cash OnlyWebsite kept crashing when I tried to book regional tickets, when I showed up to  at time on timetable and attempted to pay with card I was refused, cash only! Antiquated and unhelpful. Thank god a new private service has popped up, cheaper and more effective! West cork connect for the w",2023-01-12
"Have  to rate one star to leave a…Have to rate one star to leave a review. driver would not let my daughter on  from Dublin to Newry on Thursday evening,because the  leaves at 21.45 pm and she was there at 21.44pm,seriously need to learn some  customer service my daughter then had to wait one hour by herself at that time of night in Dublin.Absolutely ridiculous awful awful just awful hope said  driver  if he had a daughter would he like that done on her?Imagine how my daughter felt for one whole hour at that time of night in a almost deserted  station with some unsavoury characters hanging about shame on  driv",2022-12-08
"RubbishRubbish. Randomly drop services because no driver is available, I imagine? This means you're left sitting at the  stop waiting for a  that never comes, late for work, an appointment, a train you have to catch, a flight! Is it cancelled? Is it a couple of minutes late? Who knows! Thanks   for all times I was late because you can't fulfil scheduled services, or at least give us an app to communicate cancelled services with some notice!",2022-10-16
"The  driver was beyond impoliteThe  driver was beyond impolite. He belittled me and called me a ""knacker."" I was deeply upsetted by this. He regularly stopped to make phone calls. The journey took over an hour and I was late for my cinema party for my 18th birthday. Usually  drivers are great, but this man needs to be taught some decorum. I am very upset and hurt. Very poor experience.",2023-07-15
Unsafe and unreliable!Twice my daughter has been stranded alone late at night on her Galway to Dingle journey when her connecting  had left the station before her  arrived. Grateful Tralee Radio Taxis could pick her up at the station at 11.30pm on a Tuesday night and drive her to Dingle.,2022-08-30
This is an absolute joke...2 hours 30…This is an absolute joke...2 hours 30 minutes on the  from limerick to waterford and there is no toilet facilities.....are we living in south America or something....an absolute discrase....  should be ashamed of themselves....I will never be on a    again....I am not a dog but I'm am after been disprectived....,2022-11-26
"Dangerous DrivingBus driver pulled right out in front of me from a secondary road, while I was on a main road. Ran me into the footpath on the opposite side. It was quite reckless of him. Had that been all he done, I could have gotten over that, as we're all human and do make mistakes. However, he then made a rude hand gesture at me, which was totally inexcusable. I emailed my experience to  , however they have not responded. I will now be escalating my complaint with the Garda as luckily I have footage of the entire event. It's alarming that  Éireann don't investigate driver complaints. Left unchecked, there will be much bigger problems to deal with as a result of their willful negligence.",2022-10-21
On the monaghan to dublin  November…On the monaghan to dublin  November 18 2023. A pleasant journey.  The  driver was very professional and courtious - great customer care skills.Thanks.,2023-11-18
Today on the Galway to Limerick busToday on the Galway to Limerick . Lovely driver but the most disgusting  I have ever seen. Filthy. It stank. Visable spill residue everywhere. Rubbish on the ground. Surfaces sticky. A health hazzard. Just disgusting. The greed of this company shows.,2023-08-29
"303 it’s always the sameSick of this these buses I get everyday to work and back, I was on my way to the city centre today limerick when I went to put up my leap card I put up the wrong card and the  driver then decided he could pick up my card and say I’m not allowed on the  because of what I did? I made a simply mistake I explained I have my own card in my bag that I did not intend to put the card I put up on the meter. He then kept saying get off the  I’m not allowed on because of a stupid mistake, also before I got on the  he was standing outside the  just standing there and I was like hi how are u nd he stayed standing there for about 30 seconds before getting back to doing he’s job. This was 1/8/23 Tuesday at 7:15pm 303 pineview gardens",2023-08-01
Huge numbers waiting for the 245  in…Huge numbers waiting for the 245  in Cork. The driver left with 20 people missing the  home at 7.00pm. Shocking management if a  company cannot work out they need a more regular service or a  with more capacity. This regularly happens.,2022-10-30
"the most fcuked up transport company in…the most fcuked up transport company in the whole world! planned departure to Shannon 17:35, a man comes and says that we will leave maybe at 6 p.m. and then talks on the phone and arranges something, this is a fcuking joke! no one cares that you have a plane flight  , instead of a dog logo you should have a snail stuck in 💩🖕",2023-10-06
False information on the digital signs…False information on the digital signs at the  stops.A system that took millions of Euros of taxpayer money only to present false information.Do not rely on this woeful  service. Does not deserve 1 star. Consistently bad service.,2022-10-28
"same oldsame old . drivers pass the stops , can be rude and act like they’re doing you the biggest favour in the world by driving a route that they’re getting paid for lol. The buttons don’t work and they give out to u when u wanna get off when they could easily check mirrors or camera to see if people are getting off or maybe STOP INCASE ??? also the woman driver on the 32 service is so slow at boarding and speaks so loud when she embarrasses  the customers as she’s giving out. and she charged adult fare when i just showed her my student id and the previous day she told me she could find the student return then she did but the next day she apparently couldn’t on the machine . also let’s not talk about the price for   services 😬 expressway should NOT be that expensive let’s b",2022-09-08
" 101 has been an absolute nightmareBus 101 has been an absolute nightmare, SIX buses passed and none stopped on Tuesday. Was waiting for hours and that has been happening so much. There was a man with me in the  stop going to see a house for him and his family as he's looking for a house for nine months and he couldn't go cause it was too late, the  didn't come and others didn't stop so he's still in a homeless shelter with his family.  Not even the morning  to get people TO WORK is reliable anymore. Absolute joke they're not fixing anything.They're literally playing with people's lives. Oh, I also nearly missed a flight because of them.",2022-10-04
"Very badVery bad,  driver Is so rude. Most especially from ennis to limerick should just be a one way I don't know why it has to go all over shannon it's a waste of time for me there should be a direct bud from ennis to limerick, plus the Internet on the bad is not good or sometimes it doesn't work",2022-10-12
Crap serviceLately i had to use the  as my dad was very ill in hospital in tralee.you can see the vast majority of drivers have given up.positivity is at a ridiculous low.there time tables on line are a disaster.having used trains and buses in europe.i have to say the service here is brutal.constantly late zombie drivers its sad.all the money spent on new buses and a crap service.people shouldn't have to put up with this crap plus the tax payer is paying for it.sadly its ireland so it will go on.youd be better of hitching.plus they never answer the phone when looking for information from tralee.,2023-08-29
"If there was a 0 star option I'd select…If there was a 0 star option I'd select it. Unable to get a return ticket to the airport and could only pay cash, the private hire company wasn't ""given"" a card machine. And the front door didn't work and no WiFi. How is it possible that a national company hire private buses to run their routes?? If they want to do it the  should be equipped with card machine like normal  and should have the   logo on the  instead of paper cut logo stuck with blue tack on the front. That  was 4.48 am from Gorey on the 3rd of June It's very disappointing. WEXFORD  is the one for you!",2023-06-03
If I could of put no stars I would…If I could of put no stars I would of...my daughter and her boyfriend travelled back to castlebar from westport tisevening and the  driver was so rude to both of them..he asked ther ages and called my daughter a liar when she said she was 14 years of age..she's a quiet polite girl and her boyfriend is the same...he then threw ther chang back at them and was so rude...his name was Peter.. maybe you should Learn some communication skills..,2023-07-11
"Dungarvan to CorkArrived over 20 minutes late anyways but didn't get to my destination for move than an hour past the expected arrival time, missed my second  home. Livid",2023-06-09
Got the  Saturday around one o clock…Got the  Saturday around one o clock lashing rain with my brother un a wheelchairThe driver sat there on his phone wouldn't open the door then when i opened it from the outsidevhe wouldn't get off his far ars to take the ramp down (I do have to carry a screwdriver because most drivers haven't a clue)Got on when got to George's Street he said I don't have a screwdriver and sat there..Reg of the bus12 C 3502It's a bloody discrase..,2023-07-15
"37  route37  routeVery poor service at peak times. People left stranded yet again this morning as  did not stop. Other days there are no shows. No reliability, no accountability, no standards. No good.",2022-10-10
"Bloody stupidBloody stupid  service. Waited three hours in the rain for a  from Trim to Dublin and every single one was full, no notice on the app, no extra buses even though there was some bloody stupid game going on. They should be aware of this and running extra busses.",2023-07-15
Terrible experience.Terrible experience. was overbooked so we had to instead rent a car which cost us way more and delayed our trip.It's now been 6 weeks and I have still not received the refund after several reminders and empty promises. Unbelievable.,2022-07-16
