Review,Date
"Journey there longJourney there long, but OK. On way back Traffic jams added over 2hours and needed extra half hour for driver break, so turned it into an 11hour journey- not your fault I know, but seats aren’t that comfy for that distance. The worst was there was no light in the toilet, so couldn’t see to flush wash hands, etc. the driver wasn’t interested and made a quip about putting money in the meter. Sorry but not funny on a 9-11 hour journey where we cannot get off to use other facilities. On board toilets need to be checked by drivers or other personal. They need to be available for use on such long journeys",27 December 2023
"I was made to wait over 2 1/2hrs when…I was made to wait over 2 1/2hrs when my bus was late. No communication from staff other to say they weren’t sure when something was coming and they would let us know when they knew, then no info for hours. No offer of compensation for terrible service, even though people like me, who has an artificial leg, were left standing for hours! Made me so late home there was no buses to get me back to my town so had to fork out for a taxi, costing me more money! Very unimpressed",27 December 2023
"Very dissatisfied.There was no toilet roll or water in the toilet. Wee everwhere inside toilet. The journey was delayed by more than 3 hours on returning journey so I was on coach from 1.30pm till 11pm. The driver was very patronising. When my stop came, i found my bags were moved to the back. I could not get them out myself, the bus driver was not onsite to help, I waited ages then another passenger helped me get my bags out by crawling in the baggage area. Very disappointed. Never travelling on Megabus again.",27 December 2023
"Toilet is extremely dirtyToilet is extremely dirty, no flushing function, bad bad smell, people pissing on the floor. No driver not care of it even after reports and complaints. Air conditioning insider the bus is too cool. Driver seems open the air conditioning level at the highest level. Other customers ask the driver to turn at  the medium level. The driver seemed not response to customers request to lower air conditioning inside the bus. It was very bad experience to take yr long journey bus. No next time to take your bus",31 December 2023
"Long distance travelWarm, clean, comfortable bus. Despite a mechanical issue, the drivers were great, kept us in the picture, and moved heaven and earth to get us to our destination on time.  Highly recommend Megabus, more regular and more convenient than the train, and half the price.",29 December 2023
"AWFULlad sat behind me had his phone strapped to my chair to watch something, he was getting notifications constantly so it was buzzing my chair every five seconds for the whole 4 hour trip. need to change the wireless charger thing so it’s not on someone else’s seat that they’ve paid for. also should make sure people are up to hygiene standards when getting on, guy in front of us had long greasy smelly hair and had it in a bobble but took it out five minutes into the journey so it smelt awful for everyone around aswell as his disgusting body odour, whilst also elbowing the lady next to him taking this bobble out his hair. then continued to be disgusting and burped in this ladies face, which absolutely stunk, followed by him constantly staring at me through the gap the whole journey. will never ride with mega bus again. appalling!!.",02 January 2024
Professionalism of the drivers was…Professionalism of the drivers was superb.y only complaint is some of the charging points that aren't not working. Outside of that it's all good experience. Buses came and left on time.,31 December 2023
"Your drivers are not professional and…Your drivers are not professional and inconsiderate. My last trip was a disaster. You Bus broke down and wS deleted for hours before a new bus came for pickup, yet your driver was stopping along the way to have a wonderful time to discuss with their colleagues why we wait, I ended up missing my flight of 6:30. Because we arrived 6:38am to victoria coach",27 December 2023
"I reached at the coach station 20…I reached at the coach station 20 minutes before departure and unfortunately my phone switched off due to low battery. I asked the staff of Megabus to please let me charge my phone so that I can show you my ticket, but he said today we have a different coach for travel from Birmingham to Manchester and we don't have a charging plug in this coach so we can't help you. show us the ticket otherwise we will not let you to travel. That was absolutely disgusting behaviour by the megabus staff and coach. When i booked the ticket why they have written that the coach have charhing plugs?",31 December 2023
"Far too hot!So the, staff / driver were great, as was the cost.But... The temperature on the bus felt like a million degrees, far to hot to be comfortable on a long journey.Think it also needs to be made clearer to people who haven't reserved a seat, to sit where they are permitted. It was like constant musical chairs at each stop.Good value but not for me.",23 December 2023
There was delay on the way and…There was delay on the way and confusion from Leeds station in respect of whether M15 was for Birmingham or not.Please the coordinators should know which bus is going or not.,27 December 2023
"I do travel on MEGABUS on weekly basis…I do travel on MEGABUS on weekly basis some of your services are not on time at all. Most times they are late for 60 to 90 minutes, that put all passengers on hold.Another issue is waiting for the bus on Main Street in adverse weather conditionsIt awful",27 December 2023
I was waiting at the Finchley Road bus…I was waiting at the Finchley Road bus stop from 09:30 onwardsWaiting until 11:30 no mega bus turned upSo upsettingNever againI checked the location of the busObviously the driver decided not to come probably I was the only one waitingI asked everyone if they are waiting for megabus at the stopSo it so disappointing you will never knowThe whole Christmas was ruinedThank you megabus,23 December 2023
"Stress free travel to Manchester and back.Excellent service at a very reasonable price. Comfortable coaches where we could relax and enjoy our journey to Manchester and back to Scotland in very good time, without the stress.",23 December 2023
"This is the second time I am travelling…This is the second time I am travelling through Mega Bus and the experience was worst than the last time. Wouldn't recommend this bus service to anybody. I was charged extra money for reserving my seat, but as I reached to board I was told that anybody can sit anywhere as its an old bus and with no particular seat numbers. Also there was no charging point in the bus which is the quite basic facilities provided by all bus services at this day and age. My phone switched off and I had no way of charging my phone, after reaching leeds I had to withraw cash to book a cab for home early in the morning. The bus seating was also uncomfortable with no footrest or tray put my stuff on. Overall horrible experience again with Mega bus.",01 January 2024
"I would like to bring to your attention…I would like to bring to your attention an issue I encountered during my recent trip. I had reserved seat number 8 and paid an additional 1 pound for it. However, upon boarding, I discovered that someone was already occupying the seat and refused to relocate. I reported this to the driver, but unfortunately, my concerns were not addressed. As a result, I had to settle for a seat in the last row, which made the journey quite uncomfortable.",02 January 2024
The bus was due at 16.35 and it was…The bus was due at 16.35 and it was about 19 15 we left Newcastle then when I got to Edinburgh I was changed onto an arriva bus I paid for straight through Newcastle to Glasgow it was about 23.00 I got to Glasgow had to get a taxi home as I am disabled and my lift couldn't come back for  me my taxi cost me £18  I am not a happy  customer the driver was brilliant  on the bus 10/10 for the driver,29 December 2023
"No communication off driverI picked the bus as straight from Manchester airport to midd no getting offIt broke down in Leeds no communication from driver told just passengers at front to get off , was told by a passenger a bus on wayWe sat in a cold bus station seemed like hours finally a bus turned up.I got to midd 2 hours late.",29 December 2023
The bus never arrived to put up the 20…The bus never arrived to put up the 20 patients who were waiting at 21.30 on 31/12/23 from Manchester to London and I was going to catch a flight at Heathrow for 08.00.I had to buy another ticket with national express for £70 this was a very stressful time for me at I am 72 yrs old this is the second time this has happened and I will not be using this Cheap company again,31 December 2023
"MEGABUS ORDER NUMBER FAILEDMEGABUS ORDER NUMBER FAILEDOn 29 December, my family lost £127.27 to book a coach from Sheffield to Newcastle upon Tyne at kiosk 098115. We  repeated the booking online and was successful. We paid £140.60.Refund is yet to be given.",29 December 2023
"Despite the horrendous weather and…Despite the horrendous weather and traffic delays, mainly due to a 7 car crash on the 2nd Severn bridge the driver got us to our destination safely",27 December 2023
Poor Service.The bus was 30mins late arriving at Friary Gardens where there is only a small bus shelter and it was pouring with rain.We like many others had to to endure a 6hr journey in wet cloths.Though it was the conditions and not the drivers fault for the length of time it took to Heathrow however it was the drivers fault being late.Since you have to be at the bus stop 15mins before time we had to stand out in the rain for 45mins.Dont think I'll be using Mega Bus again. Personally I think I'd rather pay the extra and go by train.,27 December 2023
"Worst experienceWorst experience. Bus delayed but no one informed. Went to customer service counter and asked, replied very impolite by staff. Hey, I paid for the ticket, not free. Will never choose Mega Bus again.",27 December 2023
I was able to charge my phone going to…I was able to charge my phone going to a whole different city where I needed to communicate with family. If you say that the bus provides us charging our phones we will expect that but now I don’t know,31 December 2023
"Last timeLast time, I booked a bus from Middlesbrough to Birmingham and an emergency came up which made me not able to travel again so I chatted up support to either please refund or reschedule the dates as I usually travel with mega bus same route. Support refused and said something about terms and conditions. Even when I pleaded, I wasn’t pardoned. I actually decided I would never use mega bus. It’s not flexible at all. I also use national express and most times when something like this happens, it’s no big deal. They readjust dates with a little token and sometimes, they even refund.I was actually disappointed and sad that I had to pay for a fare I didn’t even indulge in.",31 December 2023
The bus broke down had to wait until it…The bus broke down had to wait until it was repaired making a journey that was supposed to last from 5am to 2pm entend to 10pm.Provision should be made available when such things happen by getting another megabus from the nearest megabus station where the bus broke down to covey passengers to their  destination.,27 December 2023
"I booked a bus for 1:55am 24/12/24…I booked a bus for 1:55am 24/12/24 Brunel Street, Birmingham.  We where left stranded till 4am transited in Leads by another Megabus. Onward to Newcastle.I did not get a call or apology till today.Hence my rating.",24 December 2023
"First time on the MegabusIt was our first time on the Megabus and it was great!  Our driver Ben, was on time (even though the weather conditions were pretty awful) and he was very friendly, informative and helpful. Can’t wait to go again!",31 December 2023
"I rely on wifi on arrival as a regular international visitorI live in Australia and travel to the UK annually to visit family in Bristol and when I do I travel with Megabus back and from from Heathrow. The main reason I have booked in the past is because I appreciate having access to wifi so I can contact family via what’s app when I arrive until I get to the store to buy a prepaid sim. Sadly though the wifi on Megabus did not work on my last trip in 2022/2023,nor on an earlier visit in 2021/2022. Consequently I will think twice before booking Megabus again for my next transfer.  Because again, wifi on arrival to Heathrow is incredibly useful for international travellers.I would urge Megabus to STOP advertising FREE WIFI as it is false and misleads consumers when making their purchasing decision.National Express on the other hand offer reliable wifi to travellers",03 January 2024
"London tripOn time with the pick up, driver really good on telling us what is going to happen on the way upto London and also as we are going through London.",28 December 2023
Had to spend over 2 hours in delay at…Had to spend over 2 hours in delay at Victoria coach station. The most upsetting thing is that no one was to tell passengers what was happening. Very unusual and disappointing. Please do better in future,27 December 2023
I missed my bus because there was not mention stance no on ticket.I missed my bus because there was not mentioned any stance no from Glasgow due that i missed my bus i tried to call customer service but they didn't help me.so i am totally disappointed and will never choose mega bus again.,01 January 2024
Fantastic serviceFantastic service. On time exactly.Only one complaint the language of the final driver was very colourful. Meaning lots of fowl language.,27 December 2023
"On January 2nd departing at 12:40 from…On January 2nd departing at 12:40 from Cardiff to Heathrow T2 .I gave my suitcase to the driver at 12:30  and asking how much time I had before departure, he said 10mn.This gave me the time to walk some 50yards to say goodbyes to my son and granddaughter.I walked back to the bus stop, he already was pulling away, had to run and knock the rear of the bus to get his attention, it was 12:25!!The driver did not respect the time table, and was rude to another driver calling him a C..nt.Hope you’ll trace the driver and remind him the rules of your company.Regardd",02 January 2024
The bus we have booked was Changed to …The bus we have booked was Changed to  a different one which was very older and the seating was very bad.Also I have booked the seats by paying extra amount and the same seat was not allocated as the priority was not managed in the changed bus,28 December 2023
"Great serviceGreat service, on time, I have been to Oxford from Manchester using this service, for the last few years, and this one was the best one, the drivers were excellent and did everything to get the journey on time, very pleased",24 December 2023
Absolutely been horrendousAbsolutely been horrendous. Driver 40mins late. No sorry act as not his fault. Driving like a lunatic. Talking to his mate on his phone through out the journey Cardiff to London. I pay £1each to reserve my seats 3 of them because we’re travelling with my 5yrs daughter . One guy sat in my seat but refused to move. What is the point for us to reserve our seats. It was the 11.30 to Victoria from Cardiff . I have to do this journey again in 2days time. I dearly hope we have a nicer driver.  He shouldn’t be driving for mega bus. RUDE RUDE little faces.,01 January 2024
Smooth and efficient serviceI travelled from Manchester to Middlesbrough on New Year's eve and the staff at Manchester were informative and friendly. The service was on time and the bus was clean and comfortable,31 December 2023
1st trip was fine the return journey…1st trip was fine the return journey was awful the toilet wasn't working and didn't flush there were still people using it and it made the bus smell,27 December 2023
Booked for12.25 pm Heathrow Central bus…Booked for12.25 pm Heathrow Central bus station to Cardiff but the bus did not arrive. I had to book again from National Express at 3.30 pm.There was no information or update why the bus did not come.,27 December 2023
"I have now travelled quite a few times…I have now travelled quite a few times now with Megabus. Firstly the cost to travel between Manchester and Reading to see my sister has enabled me to visit more often. I  paid as little as £40 return ticket  on a few occasions which in my view is great value.I always book a seat with extra leg room when I can for £2 which again is a bargain. The coaches on my journeys have always been clean and tidy.The coach drivers put up with a lot at times some people are not always polite. However I have found the drivers to always to be friendly and helpful. On my last trip to Reading I took a late bus. The driver was friendly and very helpful.I know the buses are not always on time , however the driver can not do anything about traffic and road works.So 9 out of 10 from meC Dewhurst",29 December 2023
"LovelySimple, clear and efficient, updated with any problems and an apology, still got home in time for New Years.",29 December 2023
"Wouldn't recommend to my worst enemyRaised a complaint about the fact that their system would not allow me to change booking over Christmas which resulted in me having to rebook with another company. When trying to raise this complaint I was simply given a copy and paste response that basically read ""no refunds.""",26 December 2023
"Great TravelGreat Travel, We always leave on time and the drivers are always informative and polite.It's always a pleasure to use Mega Bus.",28 December 2023
DisgustingDisgusting! Women driver very rude snatched my phone to look at my tickets.Then I was told I hadn’t reserved a seat I had number 42 and 43 on my receipt. I asked where I should sit and she told me I would have to stand till a seat became available for me and my son. I am disabled. I eventually found some where to sit my son had to sit next to two men drinking alcohol one lay in on the floor and fell asleep. Manchester to Cardiff never again!!!!,29 December 2023
"Everything went wrongEverything went wrong, my coach To Cardiff university was meant to be 4:45am on the 27th of December 2023, to arrive Cardiff university at 2:05pm that same day. The first problem started in Birmingham when I was change to another coach which will bring me to Cardiff university, the coach arrived at 10:50am but didn’t leave until almost 2:pm, this was due to bad wipper that needed to be change.Then we got to Bristol and driver said his shift was over and he couldn’t drive us anymore, he made us understand that the driver which was meant to change with him was nowhere to be found, mind you this was 5:15pm. He proceeded to counting we that are left in the coach and told us that he will order taxi to our final destination.This went on for another one hour and thirty minutes standing in the cold on a raining day. I finally arrived at my final destination at 8:pm with no apologies or any form of refund after making me lose my work shift for that night.It’s the worst experience I have ever had in my history of traveling with a coach.",27 December 2023
The only big issue i had was the coach…The only big issue i had was the coach to Bristol from London and Bristol to London felt a bit compact and i didnt have much leg room but other than that the service was nice.,26 December 2023
Coach was cold for the first few hours…Coach was cold for the first few hours and it was a very cold morning  . I think you need to have a break at least half way through the journey . Your toilets are big inside if you can get into them but some of us are a little bigger and the doors are narrow.  I ended up with a bad tummy cos I couldn't go to the loo for a wee . I had to wait till I got off at my stop . I had been on coach 10 hr and had to run to the loo in bus station  .,31 December 2023
Good serviceWhen the bus breakdown you have arranged a taxi so that the customer reaches there destination without delay.,01 January 2024
I would rate you bad because the bus…I would rate you bad because the bus refused to take me from my park to my destination and up till not my money has not been refunded which is bad!!,27 December 2023
"I faced issue with mobile phone…I faced issue with mobile phone charging,my iPhone battery was dead. So there was not proper switch where I can charge my iPhone",28 December 2023
"Good ExperienceOn time, helpful and nice staff. Got me where I needed to be for a good price. Seats got uncomfortable after a while but to be expected. The toilet was small but clean, no toilet paper though.",01 January 2024
COACH BREAKDOWNDUE TO COACH BREAKING DOWN IN LEEDS BUS STATION THE 13:30 FROM CARDIFF TO SUNDERLAND DUE TO ARRIVE IN SUNDERLAND AT 22:30 FINALLY ARRIVED AT 00:45  ( 2HOURS AND FIFTEEN MINUTES LATE),29 December 2023
Perfect from Aberdeen to Glasgow then…Perfect from Aberdeen to Glasgow then it was all downhill from there. Bus driver was rood and un caring bus was so un comfortableNever again.,30 December 2023
The journey was a very pleasant…The journey was a very pleasant experience. The bus was on time the driver was helpful. The bus was very clean and warm. I am now looking forward to rebooking at some point.,30 December 2023
"Excellent value.Bus ran on time, was comfortable and very good value.  We did feel, however, that the driver drove too close to the car in front. There was barely one chevron between vehicles.",30 December 2023
"i want my money backi want my money back, i stood around for an hour waiting for this megabus, and it was 9oclock at night there wasn't any traffic, absolutely disgraceful service",28 December 2023
"The bus arrived one hour lateThe bus arrived one hour late. And I had to change in Coventry again and had to wait another hour which was not the plan. A total failure, very unprofessional service. I wish I could give zero stars but there was no choice.",29 December 2023
I lost my goods in the bus but I never…I lost my goods in the bus but I never got them buck and I emailed the company from this time I never got any  email back about my goods which got lost in the bus.,11 October 2023
"Could not use lower deck at all due to…Could not use lower deck at all due to leak caused by broken seal. Therefore, unable to use my seat that was reserved and getting on/off was very chaotic.",28 December 2023
I travelled in national express and …I travelled in national express and  mega bus aswell but  mega vus is much better den natiinal express mega bus is more comfortable have  enough space sides of d seat and better den NE  i will always travel wid mega bus,29 December 2023
"Due to an issue with the busDue to an issue with the bus, we had to wait for a replacement. This took a lot longer than expected.Other than that, it was a great journey.",28 December 2023
"Trip to LondonVery good service drivers very helpful, lost something on the bus , had help from staff at the station to sort it out.. very good indeed.",29 December 2023
We arrived in Cyprus but no thanks to…We arrived in Cyprus but no thanks to mega bus who we had booked with to take us from Middlesbrough to Manchester airport. Our pick up was supposed to be 12.20 on 2/1 we arrived at 11.55. Three buses turned up to London Newcastle and Durham. When it was after ETA we asked the Newcastle driver who said ‘don’t worry it will be here’By 1.11 after speaking to the Durham driver who rang control and said the bus had been and gone- although he said he hadn’t seen it on the A19- we rang for a taxi. The cheapest we could get was an Uber £222 but as it was an 20 min wait and it was torrential rain/wind and there was no shelter we got another taxi back home to dry off and have a warm drink. We had no choice but to book the Uber and borrowed the money from our friend who had taken us to M’bro initially.Thankfully the Uber got us to the airport in time for the jet2 Paphos 9am flight. If we’d booked a mega bus to get us to the airport with 3 hours to spare we would have missed our flight. Please treat this as the 1st stage of our complaint and send the relevant forms for us to claim compensation and a refund.,02 January 2024
"Hello,We just arrived 8 minutes later…Hello,We just arrived 8 minutes later because there was traffic he didn't wait for us for 10 minutes and he did call us .",02 January 2024
You were late.You were late.. No apologies lr communication from the driver..no greetings nothing. Only seen him bellowing bustops,27 December 2023
The toilet was dirty and blocked and it…The toilet was dirty and blocked and it would have been helpful if the bus could stop so everyone could have a toilet break.,21 December 2023
"Excellent serviceOur trip was made great by the lady from Wales who picked us up on the 30th sat 6.30. Brilliant , pleasant, very helpful, and made my 1st time on mega bus a great experience. So I will book again.",30 December 2023
"On my journey from Oxford to Leeds bus…On my journey from Oxford to Leeds bus arrived 40 mins late, was a different bus company and we were off loaded at Coventry for an hour and half in the hope we got on another coach, I reserved a seat which I never got and when we were stranded we were told if we couldn’t get on the next bus we would have to find our own way as no one was working so we couldn’t get a replacement, luckily we did get on. On my way back down it was a better service however the driver gave us all heat exhaustion as it was on 28 and he was reluctant to turn it down but did eventually. After the experience of my journey up there think I’d pay the extra for the better experience",29 December 2023
I had 3 tickets to come back I decided…I had 3 tickets to come back I decided the 29th from Birmingham to Bristol it was late again and the heating wouldn’t turn of,29 December 2023
A very bad experience on 31st of…A very bad experience on 31st of December 2023… I booked a ticket from Oxford to Manchester pick up station was at Oxford city park and raide and unfortunately no bus shows up so I have to book for next available bus to Manchester,31 December 2023
"Great journeyGreat journey, although the charger ports were not working. That is my only complaint",31 December 2023
Promptly organised and happily operated…Promptly organised and happily operated much needed News Years Eve service to and from London - Thankyou,31 December 2023
Excellilent experienceThe driver was excellilent dispite the traffic being terrible..he keep apolgizing it wasnt his fault,27 December 2023
Bus delayed for more than half an hour…Bus delayed for more than half an hour with a different bus and secondly transferred everyone again,02 January 2024
"Was pleased to be able to travel from…Was pleased to be able to travel from London @2am New Year’s Day. At a reasonable price. However, took an extra hour.",01 January 2024
The coach was comfortable and cleanThe coach was comfortable and clean . The drivers were friendly and helpful . The whole trip was punctual.The leg room was more than usual for a coach.A toilet was also on board.,28 December 2023
I was able to relax on a wonderful…I was able to relax on a wonderful coach traveling overnight to London from Inverness… everyone was respectful of each other… the driver drove safely and smoothly…looking forward to my next trip in February,13 December 2023
I couldn’t travel because I wanted to change my ticket from 1st January to 2nd but there wasn’t bus on the day. I tried to refund but y’all don’t refund. So the ticket was wasted.I couldn’t travel because I wanted to change my ticket from 1st January to 2nd but there wasn’t bus on the day. I tried to refund but y’all don’t refund.So the ticket was wasted.,01 January 2024
"No refunds given.The flight was delayed which caused us to miss the bus, through no fault of our own. We had to pay for a new ticket home. Then was told that the ticket which we did not use is not refundable!!!!!",31 December 2023
"Always delayedAlways delayed , drivers are rude and mannerless, charging ports never work ! Bus is not branded as mega bus",27 December 2023
They looked after us reallyThey looked after us really well even when I got really un well on the the bus on the way home . so big thank you to the people that made sure we were ok,29 December 2023
Bus was late due to coach breakdown…Bus was late due to coach breakdown hour late but still gets u home asp no fault on there side,02 January 2024
"I usually highly rate MEGABUSI usually highly rate MEGABUS, but the last two trips have not been up to scratch as I haven’t been able to track my coach. I book multiple coaches per year.",01 January 2024
"A very comfortable journeyA very comfortable journey - Heathrow - Cardiff. A very helpful driver. All in all, very good.",27 December 2023
"Return to LondonThe Savvy Driver,  very smooth driving, and arrived before time…Very much impressed!!!!",27 December 2023
Driver was so rude and no proper…Driver was so rude and no proper guidance and he made me to pay extra 25£  to board the bus,27 December 2023
"Great experienceWell , I’m a tourist from Bangladesh , I had great journey , the driver was friendly and helpful",30 December 2023
The bus wasn't direct like I booked so…The bus wasn't direct like I booked so missed an important family diner,23 December 2023
My Megga Bus experience was as alwaysMy Megga Bus experience was as always. 10/10 with marvellous drivers very approachable and sincere.,28 December 2023
"Driver wasn’t concerned about the…Driver wasn’t concerned about the driving, he was talking when driving.",21 December 2023
They didn’t keep time with no…They didn’t keep time with no explanation after calling the call centre.,30 December 2023
Time management was good and their bus…Time management was good and their bus comfortably.,27 December 2023
Timeliness and comfortTimeliness and comfort. Megabus is just too amazing.,28 December 2023
Great serviceI love the experience of using the megabus. It was fun,29 December 2023
The bus was very late for an hour 30min…The bus was very late for an hour 30min from Newcastle which affected my plans.The return bus from Manchester was also late.,27 December 2023
My experience was far from good I will…My experience was far from good I will never use you again the bus did not turn up I asked about a refund was told I did not wait long enough an hour is enough and I nearly missed my appointment I had to buy another ticket to travel on a national express poor service poor customer service,27 December 2023
"Generally great valueGenerally great value, as well as polite and friendly staff.",29 December 2023
Nice driverThe driver was very nice and kept us informed. He made the trip enjoyable.,31 December 2023
Bus was a hour and half late on return…Bus was a hour and half late on return journey which left us sat around,29 December 2023
ComfortThey are timely and make the journey comfortable for me.,28 December 2023
Your driver and customer service is…Your driver and customer service is very bad and you guys are not good,03 December 2023
Travelled well and arrived on time as…Travelled well and arrived on time as expected.,31 December 2023
"FriendlyFriendly, helpful driver, comfortable seating and on time",29 December 2023
Am really happy with my travel…Am really happy with my travel experience.,28 December 2023
Very good and approachable driver from…Very good and approachable driver from London.,29 December 2023
new years eve 2023Drivers friendly and got us home in good time safe and sound. Seats were confortableDont really need much more,31 December 2023
1.No free wifi1.No free wifi2.Dirty toilet3.Bus need refreshing**** Drivers were nice and friendly,30 December 2023
Bus driver was rudeBus driver was rude. Also sounded like he was going to die at the wheel with the way he was coughing.,28 December 2023
ExcellentGood driver and comfortable,01 January 2024
It was very comfortableIt was very comfortable. We felt safe the whole journey.,30 December 2023
Most  times it's on timeMost  times it's on time.Don't  like when you have to  ask people to move their bags when your looking  for seats.,02 January 2024
Messed with my itinerary and I had to…Messed with my itinerary and I had to book another bus,28 December 2023
The busses are reliable and always on…The busses are reliable and always on time.,02 January 2024
Driver was extremely rudeDriver was extremely rudeBus caught at 7.20 yo London megabus,01 January 2024
"Multiple stops to wait for repair…Multiple stops to wait for repair vehicle, little to no info on times",31 December 2023
The bus is on time clean and the…The bus is on time clean and the drivers are pleasant and helpful,01 January 2024
